time,re,x,y,U_x,U_y,p
8.0,595.9183673469388,0.8671875,0.2109375,-0.00845704,-0.0107168,-0.000388295
4.0,614.2857142857143,0.2265625,0.1484375,-0.0206873,0.0105037,0.000205758
6.0,136.73469387755102,0.5546875,0.3828125,-0.213178,-0.0110675,-0.0115249
7.0,246.9387755102041,0.2421875,0.0390625,-0.0118136,0.00150207,-0.000464678
10.0,357.1428571428572,0.6796875,0.1171875,-0.0516742,-0.0237836,0.000664003
6.0,210.20408163265307,0.5234375,0.9765625,0.797203,0.00387042,-0.0534889
4.0,357.1428571428572,0.2578125,0.8359375,-0.0366153,0.115101,-0.018495
9.0,448.9795918367347,0.3828125,0.0078125,-0.00478061,6.74608e-05,-0.00019412
10.0,944.8979591836736,0.3359375,0.2734375,-0.134244,0.0771935,-0.00359685
8.0,724.4897959183675,0.7734375,0.6953125,0.0262487,-0.181589,-0.0629071
7.0,393.8775510204082,0.8671875,0.2109375,-0.00982942,-0.0131655,-3.25061e-05
0.0,191.8367346938776,0.9296875,0.2578125,0.0,0.0,0.0
10.0,246.9387755102041,0.4296875,0.3359375,-0.225168,0.0800069,-0.0173011
0.0,100.0,0.2421875,0.5078125,0.0,0.0,0.0
6.0,687.7551020408164,0.7265625,0.1171875,-0.0169388,-0.0110255,0.00229661
0.0,540.8163265306123,0.8046875,0.3515625,0.0,0.0,0.0
6.0,191.8367346938776,0.9140625,0.4296875,-0.0393347,-0.107215,-0.00519104
3.0,706.1224489795919,0.1171875,0.3984375,-0.00870809,0.031822,-0.00201168
9.0,779.591836734694,0.6171875,0.8671875,0.254283,0.0236282,-0.0527412
10.0,504.08163265306126,0.4765625,0.8515625,0.241753,0.0932804,-0.0560137
5.0,210.20408163265307,0.6796875,0.7578125,0.064439,-0.0176699,-0.0911996
8.0,981.6326530612246,0.5234375,0.2109375,-0.0935956,-0.00760306,0.000412708
3.0,393.8775510204082,0.6796875,0.9921875,0.920737,0.000174154,-0.0476205
2.0,393.8775510204082,0.4296875,0.8671875,-0.0187569,0.0624138,-0.0170065
2.0,908.1632653061224,0.3515625,0.5234375,-0.0308536,0.0255728,-0.00220694
7.0,595.9183673469388,0.9140625,0.2421875,-0.00179907,-0.00152605,-0.000127876
9.0,155.10204081632654,0.3671875,0.0234375,-0.0142987,0.000515204,-0.000838456
10.0,614.2857142857143,0.9453125,0.8984375,0.0179882,-0.465826,0.0796421
0.0,375.5102040816327,0.4765625,0.4453125,0.0,0.0,0.0
5.0,485.7142857142858,0.4453125,0.1640625,-0.0550477,0.00451451,0.00152834
2.0,761.2244897959184,0.2421875,0.5390625,-0.0240622,0.0358795,-0.00295947
4.0,724.4897959183675,0.0390625,0.8671875,-0.0131986,0.0828799,-0.0158822
7.0,797.9591836734694,0.5078125,0.8984375,0.181548,0.0630599,-0.0321965
5.0,632.6530612244899,0.9296875,0.1640625,-0.000522237,-0.00289763,0.00251959
6.0,504.08163265306126,0.8515625,0.8203125,0.0535763,-0.190962,-0.03384
4.0,944.8979591836736,0.3046875,0.1953125,-0.0265343,0.0119096,0.000355345
10.0,155.10204081632654,0.8515625,0.9921875,0.892221,-0.00380055,0.09876
8.0,540.8163265306123,0.9609375,0.7734375,-0.054199,-0.553441,-0.0155417
6.0,724.4897959183675,0.8359375,0.6328125,-0.101709,-0.294675,-0.0570838
3.0,393.8775510204082,0.2421875,0.6328125,-0.0396869,0.0869349,-0.00988077
4.0,632.6530612244899,0.3203125,0.2109375,-0.0348291,0.0153333,0.000407042
10.0,963.265306122449,0.6015625,0.1640625,-0.109889,-0.0268898,0.000467232
3.0,504.08163265306126,0.2578125,0.8828125,-0.039198,0.0831379,-0.0137773
3.0,595.9183673469388,0.3984375,0.9765625,0.574158,0.00739802,-0.0116456
2.0,908.1632653061224,0.0078125,0.1484375,-4.57354e-05,0.00090676,-3.65156e-05
0.0,283.6734693877551,0.3515625,0.1484375,0.0,0.0,0.0
2.0,210.20408163265307,0.5078125,0.1640625,-0.0410207,0.00114941,0.00296752
9.0,981.6326530612246,0.4140625,0.4453125,-0.185159,0.204588,-0.0341282
3.0,338.7755102040817,0.7578125,0.9296875,0.437963,-0.00727483,-0.0549548
4.0,283.6734693877551,0.3828125,0.6328125,-0.0710693,0.153502,-0.0222906
6.0,136.73469387755102,0.5390625,0.6171875,-0.13601,0.0849151,-0.069141
7.0,687.7551020408164,0.3671875,0.5703125,-0.0678208,0.220351,-0.0266502
1.0,706.1224489795919,0.2890625,0.4296875,-0.0199642,0.0164417,-0.00117232
8.0,504.08163265306126,0.1953125,0.8828125,-0.00524877,0.123939,-0.016301
9.0,155.10204081632654,0.2109375,0.8984375,0.0367725,0.145221,-0.0334864
0.0,540.8163265306123,0.5078125,0.8203125,0.0,0.0,0.0
2.0,632.6530612244899,0.7734375,0.6953125,-0.242664,-0.00250207,-0.0205811
4.0,210.20408163265307,0.3671875,0.0546875,-0.0218666,0.00171073,0.0011645
7.0,265.30612244897964,0.7890625,0.1796875,-0.0302192,-0.0278232,0.00135352
5.0,779.591836734694,0.0078125,0.7265625,-9.36967e-05,0.0136558,-0.0110356
6.0,155.10204081632654,0.7109375,0.3359375,-0.156036,-0.103531,-0.000394457
7.0,981.6326530612246,0.1640625,0.1171875,-0.0172514,0.00949554,8.19469e-06
9.0,136.73469387755102,0.9296875,0.3046875,-0.0105756,-0.0314425,-0.00277194
2.0,779.591836734694,0.1953125,0.8828125,-0.0503653,0.0768662,-0.00944018
0.0,485.7142857142858,0.3515625,0.5859375,0.0,0.0,0.0
6.0,761.2244897959184,0.9296875,0.0546875,0.000470873,0.000207944,0.0018749
7.0,155.10204081632654,0.8046875,0.0234375,-0.00170115,-0.000500742,0.00412958
8.0,614.2857142857143,0.3828125,0.6484375,0.0204274,0.246103,-0.0465532
1.0,412.2448979591837,0.3828125,0.5390625,-0.0446009,0.0229252,-0.00287117
